x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
32.16644357,-6.219895013,,1271,50th_male,mid,mid
32.16644357,-6.250226378,,1271,50th_male,mid,mid
32.24585958,-6.290337927,,1271,50th_male,mid,mid
32.24585958,-6.351158136,,1271,50th_male,mid,mid
32.24585958,-6.396771654,,1271,50th_male,mid,mid
32.40593832,-6.462893701,,1271,50th_male,mid,mid
32.40593832,-6.508746719,,1271,50th_male,mid,mid
32.40593832,-6.554599738,,1271,50th_male,mid,mid
32.40593832,-6.56988189,,1271,50th_male,mid,mid
32.48660433,-6.580498688,,1271,50th_male,mid,mid
32.48660433,-6.580498688,,1271,50th_male,mid,mid
39.99870735,-18.17744751,,1271,50th_male,mid,mid
-159.687021,-62.97672244,,1270,50th_male,mid,mid
-163.2233235,-64.17378281,,1270,50th_male,mid,mid
-163.4795538,-63.72998031,,1270,50th_male,mid,mid
-163.6717257,-63.39711942,,1270,50th_male,mid,mid
-160.2511778,-61.99956365,,1270,50th_male,mid,mid
-160.3765551,-61.78242782,,1270,50th_male,mid,mid
-160.6272769,-61.34813648,,1270,50th_male,mid,mid
-160.8153346,-61.0224147,,1270,50th_male,mid,mid
-161.254124,-60.26241142,,1270,50th_male,mid,mid
-161.504872,-59.82812008,,1270,50th_male,mid,mid
-161.504872,-59.82812008,,1270,50th_male,mid,mid
-161.6929134,-59.50240486,,1270,50th_male,mid,mid
-161.8809711,-59.17668635,,1270,50th_male,mid,mid
-162.0063386,-58.95955052,,1270,50th_male,mid,mid
-158.8765092,-57.36558727,,1270,50th_male,mid,mid
-159.1219849,-56.94041995,,1270,50th_male,mid,mid
-155.9956496,-55.62899934,,1270,50th_male,mid,mid
-156.1759711,-55.31668307,,1270,50th_male,mid,mid
-156.296168,-55.10847769,,1270,50th_male,mid,mid
-156.296168,-55.10847769,,1270,50th_male,mid,mid
-156.4764928,-54.79615486,,1270,50th_male,mid,mid
-156.7770112,-54.2756332,,1270,50th_male,mid,mid
-156.8972343,-54.0674147,,1270,50th_male,mid,mid
-157.1376542,-53.65098753,,1270,50th_male,mid,mid
-157.438189,-53.13045276,,1270,50th_male,mid,mid
-157.6184974,-52.81814304,,1270,50th_male,mid,mid
-164.6390814,-54.39951115,,1270,50th_male,mid,mid
-172.3543438,-56.00913714,,1270,50th_male,mid,mid
-185.1068077,-59.07848425,,1270,50th_male,mid,mid
-189.7044685,-60.32700459,,1270,50th_male,mid,mid
-194.6814731,-61.38296588,,1270,50th_male,mid,mid
-211.0843963,-65.17349081,,1270,50th_male,mid,mid
-223.5426608,-68.16292651,,1270,50th_male,mid,mid
-253.3417552,-75.31339567,,1270,50th_male,mid,mid
-281.3557251,-82.03554134,,1270,50th_male,mid,mid
-316.078481,-90.60154528,,1270,50th_male,mid,mid
-378.1397277,-105.818399,,1270,50th_male,mid,mid
-534.8100951,-144.4302067,,1270,50th_male,mid,mid
-620.0667749,-165.5946457,,1270,50th_male,mid,mid
-674.0761319,-178.2550591,,1270,50th_male,mid,mid
-1030.363248,-264.7899016,,1270,50th_male,mid,mid
-1398.222415,-355.1624836,,1270,50th_male,mid,mid
-3005.074728,-746.6103445,,1270,50th_male,mid,mid
-12720.09582,-3131.957165,,1270,50th_male,mid,mid
1466.103402,349.0581398,,1270,50th_male,mid,mid
941.9026214,221.1190518,,1270,50th_male,mid,mid
549.8114665,125.0217356,,1270,50th_male,mid,mid
514.1730807,116.3497572,,1270,50th_male,mid,mid
455.365269,101.7077822,,1270,50th_male,mid,mid
354.1319127,76.8906857,,1270,50th_male,mid,mid
289.9768406,60.95220472,,1270,50th_male,mid,mid
238.2385827,48.34125328,,1270,50th_male,mid,mid
218.8087828,43.52596785,,1270,50th_male,mid,mid
171.9860531,32.33773294,,1270,50th_male,mid,mid
161.6371457,29.86487533,,1270,50th_male,mid,mid
155.4094783,28.3767815,,1270,50th_male,mid,mid
141.7727231,25.11829396,,1270,50th_male,mid,mid
134.7422539,23.34137795,,1270,50th_male,mid,mid
126.3421719,21.34031168,,1270,50th_male,mid,mid
117.266834,19.09418963,,1270,50th_male,mid,mid
102.5522605,15.52616142,,1270,50th_male,mid,mid
93.20654528,13.31343176,,1270,50th_male,mid,mid
90.13319226,12.585771,,1270,50th_male,mid,mid
88.19636483,12.12719816,,1270,50th_male,mid,mid
86.34259514,11.68829396,,1270,50th_male,mid,mid
82.06752953,10.61763123,,1270,50th_male,mid,mid
77.44441929,9.526404199,,1270,50th_male,mid,mid
72.07422572,8.207667323,,1270,50th_male,mid,mid
65.2788878,6.608654856,,1270,50th_male,mid,mid
59.6794357,5.291043307,,1270,50th_male,mid,mid
57.23363845,4.715521654,,1270,50th_male,mid,mid
55.69454396,4.392631234,,1270,50th_male,mid,mid
52.87454396,3.764261811,,1270,50th_male,mid,mid
50.29641732,3.260147638,,1270,50th_male,mid,mid
30.76596457,-2.264173228,,1270,50th_male,mid,mid
30.74474409,-2.227414698,,1270,50th_male,mid,mid
30.74474409,-2.227414698,,1270,50th_male,mid,mid
30.77657808,-2.282555774,,1270,50th_male,mid,mid
30.7871916,-2.300935039,,1270,50th_male,mid,mid
30.90406496,-2.297276903,,1270,50th_male,mid,mid
30.95731627,-2.389511155,,1270,50th_male,mid,mid
30.96796916,-2.407959318,,1270,50th_male,mid,mid
31.01057087,-2.481748688,,1270,50th_male,mid,mid
31.095771,-2.629324147,,1270,50th_male,mid,mid
31.1277231,-2.684665354,,1270,50th_male,mid,mid
31.1703248,-2.758454724,,1270,50th_male,mid,mid
31.1703248,-2.758454724,,1270,50th_male,mid,mid
31.21292651,-2.832244094,,1270,50th_male,mid,mid
31.21292651,-2.832244094,,1270,50th_male,mid,mid
31.234229,-2.869137139,,1270,50th_male,mid,mid
31.2661811,-2.924478346,,1270,50th_male,mid,mid
31.28748031,-2.961371391,,1270,50th_male,mid,mid
31.35138451,-3.072053806,,1270,50th_male,mid,mid
31.38333333,-3.127395013,,1270,50th_male,mid,mid
31.40463255,-3.164288058,,1270,50th_male,mid,mid
