phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
176,3.071779484,379,31.58333333,-378.0767751,26.43770336,-31.50639792,2.203141947
177,3.089232776,379,31.58333333,-378.4805937,19.83532743,-31.54004947,1.652943952
178,3.106686069,379,31.58333333,-378.7691234,13.22690908,-31.56409362,1.102242423
179,3.124139361,379,31.58333333,-378.9422765,6.614462066,-31.57852304,0.551205172
180,3.141592654,379,31.58333333,-379,-1.55468E-07,-31.58333333,-1.29557E-08
181,3.159045946,379,31.58333333,-378.9422765,-6.614461998,-31.57852304,-0.551205167
182,3.176499239,379,31.58333333,-378.7691234,-13.22690939,-31.56409362,-1.102242449
183,3.193952531,379,31.58333333,-378.4805937,-19.83532736,-31.54004947,-1.652943947
184,3.211405824,379,31.58333333,-378.076775,-26.43770367,-31.50639792,-2.203141973
185,3.228859116,379,31.58333333,-377.5577906,-33.03202643,-31.46314922,-2.752668869
186,3.246312409,379,31.58333333,-376.9237983,-39.61628769,-31.41031653,-3.301357307
187,3.263765701,379,31.58333333,-376.1749915,-46.18848106,-31.34791596,-3.849040089
188,3.281218994,379,31.58333333,-375.311598,-52.74660536,-31.2759665,-4.395550446
189,3.298672286,379,31.58333333,-374.3338811,-59.28866215,-31.19449009,-4.940721846
190,3.316125579,379,31.58333333,-373.2421384,-65.81265941,-31.10351153,-5.484388285
191,3.333578871,379,31.58333333,-372.0367025,-72.31660913,-31.00305855,-6.026384094
192,3.351032164,379,31.58333333,-370.7179407,-78.79853088,-30.89316172,-6.56654424
193,3.368485456,379,31.58333333,-369.2862546,-85.25644947,-30.77385455,-7.104704122
194,3.385938749,379,31.58333333,-367.7420802,-91.68839848,-30.64517335,-7.640699873
195,3.403392041,379,31.58333333,-366.0858882,-98.09241795,-30.50715735,-8.174368163
196,3.420845334,379,31.58333333,-364.3181828,-104.4665579,-30.35984856,-8.705546491
197,3.438298626,379,31.58333333,-362.4395026,-110.8088759,-30.20329188,-9.234072995
198,3.455751919,379,31.58333333,-360.4504197,-117.1174409,-30.03753497,-9.759786741
199,3.473205211,379,31.58333333,-358.3515402,-123.3903304,-29.86262835,-10.28252753
200,3.490658504,379,31.58333333,-356.1435033,-129.6256343,-29.67862527,-10.80213619
201,3.508111797,379,31.58333333,-353.8269816,-135.8214531,-29.4855818,-11.31845442
202,3.525565089,379,31.58333333,-351.4026809,-141.9758989,-29.28355674,-11.83132491
203,3.543018382,379,31.58333333,-348.8713394,-148.0870979,-29.07261162,-12.34059149
204,3.560471674,379,31.58333333,-346.2337285,-154.1531877,-28.8528107,-12.84609898
205,3.577924967,379,31.58333333,-343.4906512,-160.1723213,-28.62422094,-13.34769345
206,3.595378259,379,31.58333333,-340.6429436,-166.1426646,-28.38691196,-13.84522205
207,3.612831552,379,31.58333333,-337.6914726,-172.0623995,-28.14095605,-14.33853329
208,3.630284844,379,31.58333333,-334.6371377,-177.9297222,-27.88642814,-14.82747685
209,3.647738137,379,31.58333333,-331.4808689,-183.7428462,-27.62340575,-15.31190385
210,3.665191429,379,31.58333333,-328.2236281,-189.4999999,-27.35196901,-15.79166666
211,3.682644722,379,31.58333333,-324.8664069,-195.1994305,-27.07220058,-16.26661921
212,3.700098014,379,31.58333333,-321.4102285,-200.8394011,-26.78418571,-16.73661676
213,3.717551307,379,31.58333333,-317.8561452,-206.4181944,-26.4880121,-17.2015162
214,3.735004599,379,31.58333333,-314.2052401,-211.9341103,-26.18377,-17.66117586
215,3.752457892,379,31.58333333,-310.4586247,-217.3854694,-25.87155206,-18.11545579
216,3.769911184,379,31.58333333,-306.6174409,-222.7706105,-25.55145341,-18.56421754
217,3.787364477,379,31.58333333,-302.6828583,-228.0878938,-25.22357152,-19.00732449
218,3.804817769,379,31.58333333,-298.6560757,-233.335699,-24.88800631,-19.44464159
219,3.822271062,379,31.58333333,-294.5383194,-238.5124282,-24.54485995,-19.87603569
220,3.839724354,379,31.58333333,-290.330844,-243.616504,-24.194237,-20.30137533
221,3.857177647,379,31.58333333,-286.0349309,-248.646372,-23.83624424,-20.720531
222,3.874630939,379,31.58333333,-281.651889,-253.6004997,-23.47099075,-21.13337497
223,3.892084232,379,31.58333333,-277.1830529,-258.4773785,-23.09858774,-21.53978154
224,3.909537524,379,31.58333333,-272.6297845,-263.2755223,-22.7191487,-21.93962686
225,3.926990817,379,31.58333333,-267.9934701,-267.9934701,-22.33278917,-22.33278917
226,3.94444411,379,31.58333333,-263.2755223,-272.6297845,-21.93962686,-22.7191487
