phis,phis (radians),NVP (in),NVP(ft),x (in),y (in),x (ft),y (ft)
301,5.253441049,438,36.5,225.5866768,-375.4392777,18.79888973,-31.28660648
302,5.270894341,438,36.5,232.1046377,-371.4450661,19.34205314,-30.95375551
303,5.288347634,438,36.5,238.5518973,-367.3377088,19.87932478,-30.61147573
304,5.305800926,438,36.5,244.9264917,-363.1184568,20.41054098,-30.2598714
305,5.323254219,438,36.5,251.2264791,-358.7885954,20.93553993,-29.89904962
306,5.340707511,438,36.5,257.4499405,-354.3494435,21.45416171,-29.52912029
307,5.358160804,438,36.5,263.5949801,-349.8023534,21.96624834,-29.15019612
308,5.375614096,438,36.5,269.6597262,-345.1487101,22.47164385,-28.76239251
309,5.393067389,438,36.5,275.6423313,-340.3899311,22.97019428,-28.36582759
310,5.410520681,438,36.5,281.540973,-335.5274661,23.46174775,-27.96062218
311,5.427973974,438,36.5,287.3538547,-330.5627961,23.94615456,-27.54689968
312,5.445427266,438,36.5,293.0792056,-325.4974336,24.42326713,-27.12478613
313,5.462880559,438,36.5,298.7152817,-320.3329213,24.89294014,-26.69441011
314,5.480333851,438,36.5,304.2603663,-315.0708325,25.35503053,-26.25590271
315,5.497787144,438,36.5,309.7127702,-309.7127702,25.80939752,-25.80939752
316,5.515240436,438,36.5,315.0708325,-304.2603663,26.25590271,-25.35503053
317,5.532693729,438,36.5,320.3329213,-298.7152817,26.69441011,-24.89294014
318,5.550147021,438,36.5,325.4974336,-293.0792056,27.12478613,-24.42326713
319,5.567600314,438,36.5,330.5627961,-287.3538547,27.54689968,-23.94615456
320,5.585053606,438,36.5,335.5274661,-281.540973,27.96062218,-23.46174775
321,5.602506899,438,36.5,340.3899311,-275.6423313,28.36582759,-22.97019428
322,5.619960191,438,36.5,345.1487101,-269.6597262,28.76239251,-22.47164385
323,5.637413484,438,36.5,349.8023534,-263.5949801,29.15019612,-21.96624834
324,5.654866776,438,36.5,354.3494435,-257.4499405,29.52912029,-21.45416171
325,5.672320069,438,36.5,358.7885954,-251.2264791,29.89904962,-20.93553993
326,5.689773362,438,36.5,363.1184568,-244.9264917,30.2598714,-20.41054098
327,5.707226654,438,36.5,367.3377088,-238.5518973,30.61147573,-19.87932478
328,5.724679947,438,36.5,371.4450661,-232.1046377,30.95375551,-19.34205314
329,5.742133239,438,36.5,375.4392777,-225.5866768,31.28660648,-18.79888973
330,5.759586532,438,36.5,379.3191269,-219,31.60992724,-18.25
331,5.777039824,438,36.5,383.0834317,-212.3466137,31.92361931,-17.69555114
332,5.794493117,438,36.5,386.7310457,-205.6285445,32.22758714,-17.13571204
333,5.811946409,438,36.5,390.2608576,-198.8478389,32.52173813,-16.57065324
334,5.829399702,438,36.5,393.6717923,-192.0065623,32.80598269,-16.00054686
335,5.846852994,438,36.5,396.9628107,-185.1067986,33.08023423,-15.42556655
