x (m),y (m),x (ft),y (ft),description,img_last4,neck,seat_track,seat_height
0.94345,4.464716,3.095308498,14.64801884,,0000,50th_male,mid,mid
1.049824,4.507658,3.444304572,14.78890467,,0000,50th_male,mid,mid
1.09642,4.507658,3.597178593,14.78890467,,0000,50th_male,mid,mid
1.059904,3.880723,3.477375439,12.73203125,,0000,50th_male,mid,mid
1.135949,3.880723,3.726866917,12.73203125,,0000,50th_male,mid,mid
1.240557,3.845402,4.070069028,12.6161487,,0000,50th_male,mid,mid
1.378575,3.916459,4.522884003,12.84927535,,0000,50th_male,mid,mid
1.50606,3.916459,4.94114189,12.84927535,,0000,50th_male,mid,mid
1.565554,3.916459,5.136332185,12.84927535,,0000,50th_male,mid,mid
1.677867,4.298307,5.504813168,14.10205754,,0000,50th_male,mid,mid
1.704954,4.298307,5.593681281,14.10205754,,0000,50th_male,mid,mid
1.804192,4.257995,5.919265281,13.96980032,,0000,50th_male,mid,mid
1.919257,4.178846,6.296775136,13.71012511,,0000,50th_male,mid,mid
1.955547,3.880723,6.415836819,12.73203125,,0000,50th_male,mid,mid
2.090739,3.880723,6.859380141,12.73203125,,0000,50th_male,mid,mid
2.22593,3.880723,7.302920181,12.73203125,,0000,50th_male,mid,mid
2.369572,3.880723,7.7741866,12.73203125,,0000,50th_male,mid,mid
2.496314,3.880723,8.190006824,12.73203125,,0000,50th_male,mid,mid
2.584632,3.845402,8.479764051,12.6161487,,0000,50th_male,mid,mid
2.713693,3.81049,8.903192542,12.50160801,,0000,50th_male,mid,mid
2.859641,3.880723,9.382024578,12.73203125,,0000,50th_male,mid,mid
3.011731,3.880723,9.881007534,12.73203125,,0000,50th_male,mid,mid
3.106238,3.81049,10.19106988,12.50160801,,0000,50th_male,mid,mid
3.231519,3.81049,10.6020968,12.50160801,,0000,50th_male,mid,mid
3.365151,3.81049,11.04052201,12.50160801,,0000,50th_male,mid,mid
