x (ft),y (ft)
-4.296584646,57.56726706
-4.397431102,56.4113878
-4.687854331,54.21704068
-4.781955381,53.69153215
-4.929196194,53.69153215
-5.640439633,54.75158793
-5.690357612,54.75158793
-5.875754593,54.21704068
-6.107119423,53.69153215
-6.317027559,52.66644357
-6.313044619,51.19082021
-6.454353675,51.19082021
-6.58519685,49.78487533
-6.557129265,48.01040682
-6.646302493,48.01040682
-6.722424541,46.7489731
-6.662900262,43.64569882
-6.745170604,43.64569882
-7.054189633,43.28217848
-7.054189633,43.28217848
-7.09503937,43.28217848
-7.176732283,43.28217848
-7.380971129,43.28217848
-7.421820866,43.28217848
-7.421820866,43.28217848
-7.395748031,42.22150262
-7.453526903,41.8775853
-7.431578084,41.53827428
-7.431578084,41.53827428
-7.544343832,40.87325787
-7.560915354,40.54733268
-7.555242782,39.90829724
-7.533490814,39.59498031
-7.685216535,39.59498031
-7.752949475,38.98042651
-7.841975066,38.67899934
-7.832982283,38.08755249
-7.979940945,38.08755249
-8.078188976,37.51076444
-8.078188976,37.51076444
-9.249711286,27.31992126
-9.249711286,27.31992126
-9.22148622,27.31992126
-9.136814304,27.31992126
-9.258861549,28.20287402
-9.20101706,28.20287402
-9.196804462,28.38474409
-9.217608268,28.75395997
-9.179514436,29.13065289
-9.17507874,29.3218668
-9.200561024,29.51506562
-9.110682415,29.51506562
-9.105853018,29.71025262
-9.065606955,30.10670604
-9.055265748,30.51152231
-8.920403543,30.92492782
-8.91437336,31.13495735
-8.895885827,31.77871063
-8.889586614,31.99796916
-8.889586614,31.99796916
-8.740459318,32.67039698
-8.635246063,32.89955381
-8.520265748,33.36561024
-8.569573491,33.84233596
-8.484944226,34.33005577
-8.484944226,34.33005577
-8.491725722,35.08315617
-8.482519685,35.34013451
-8.393812336,35.86330052
-8.479970472,36.39914042
-8.399173228,36.67197178
-8.460738189,36.94815289
-8.424898294,36.94815289
-8.321450131,37.79735892
-8.273854987,38.08755249
-12.24559383,32.67039698
-12.24559383,32.67039698
-12.24559383,32.67039698
-12.21313976,32.67039698
-11.68099409,31.56180118
-11.64941601,31.56180118
-11.38238189,31.13495735
-11.28206365,30.92492782
-10.92167651,30.10670604
-10.86082021,30.10670604
-10.70188648,29.71025262
-10.67177165,29.71025262
-10.42504265,29.13065289
-10.15650262,28.56843176
-9.924678478,28.02281824
-9.839370079,27.84450787
-9.839370079,27.84450787
